"","item","rating","literality","addressee","role","Subject","response"
"99",5,"Arousal","irony","other","Speaker","S25_1",3
"100",5,"Arousal","irony","other","Speaker","S26_1",2
"101",6,"Arousal","literal","self","Speaker","S03_1",4
"102",6,"Arousal","literal","self","Speaker","S04_1",2
"103",6,"Arousal","literal","self","Speaker","S06_1",3
"104",6,"Arousal","literal","self","Speaker","S08_1",5
"105",6,"Arousal","literal","self","Speaker","S09_1",4
"106",6,"Arousal","literal","self","Speaker","S11_1",2
"107",6,"Arousal","literal","self","Speaker","S12_1",2
"108",6,"Arousal","literal","self","Speaker","S13_1",6
"109",6,"Arousal","literal","self","Speaker","S14_1",1
"110",6,"Arousal","literal","self","Speaker","S15_1",3
"111",6,"Arousal","literal","self","Speaker","S16_1",2
"112",6,"Arousal","literal","self","Speaker","S17_1",4
"113",6,"Arousal","literal","self","Speaker","S18_1",3
"114",6,"Arousal","literal","self","Speaker","S19_1",3
"115",6,"Arousal","literal","self","Speaker","S20_1",5
"116",6,"Arousal","literal","self","Speaker","S21_1",3
"117",6,"Arousal","literal","self","Speaker","S22_1",3
"118",6,"Arousal","literal","self","Speaker","S24_1",4
"119",6,"Arousal","literal","self","Speaker","S25_1",5
"120",6,"Arousal","literal","self","Speaker","S26_1",6
"121",7,"Arousal","literal","other","Speaker","S03_1",1
"122",7,"Arousal","literal","other","Speaker","S04_1",2
"123",7,"Arousal","literal","other","Speaker","S06_1",4
"124",7,"Arousal","literal","other","Speaker","S08_1",4
"125",7,"Arousal","literal","other","Speaker","S09_1",6
"126",7,"Arousal","literal","other","Speaker","S11_1",4
"127",7,"Arousal","literal","other","Speaker","S12_1",1
"128",7,"Arousal","literal","other","Speaker","S13_1",1
"129",7,"Arousal","literal","other","Speaker","S14_1",5
"130",7,"Arousal","literal","other","Speaker","S15_1",3
"131",7,"Arousal","literal","other","Speaker","S16_1",1
"132",7,"Arousal","literal","other","Speaker","S17_1",5
"133",7,"Arousal","literal","other","Speaker","S18_1",3
"134",7,"Arousal","literal","other","Speaker","S19_1",1
"135",7,"Arousal","literal","other","Speaker","S20_1",4
"136",7,"Arousal","literal","other","Speaker","S21_1",2
"137",7,"Arousal","literal","other","Speaker","S22_1",5
"138",7,"Arousal","literal","other","Speaker","S24_1",5
"139",7,"Arousal","literal","other","Speaker","S25_1",3
"140",7,"Arousal","literal","other","Speaker","S26_1",2
"141",8,"Arousal","irony","self","Speaker","S03_1",4
"142",8,"Arousal","irony","self","Speaker","S04_1",1
"143",8,"Arousal","irony","self","Speaker","S06_1",2
"144",8,"Arousal","irony","self","Speaker","S08_1",7
"145",8,"Arousal","irony","self","Speaker","S09_1",5
"146",8,"Arousal","irony","self","Speaker","S11_1",2
"147",8,"Arousal","irony","self","Speaker","S12_1",1
"148",8,"Arousal","irony","self","Speaker","S13_1",1
"149",8,"Arousal","irony","self","Speaker","S14_1",3
"150",8,"Arousal","irony","self","Speaker","S15_1",3
"151",8,"Arousal","irony","self","Speaker","S16_1",1
"152",8,"Arousal","irony","self","Speaker","S17_1",5
"153",8,"Arousal","irony","self","Speaker","S18_1",1
"154",8,"Arousal","irony","self","Speaker","S19_1",3
"155",8,"Arousal","irony","self","Speaker","S20_1",5
"156",8,"Arousal","irony","self","Speaker","S21_1",6
"157",8,"Arousal","irony","self","Speaker","S22_1",4
"158",8,"Arousal","irony","self","Speaker","S24_1",5
"159",8,"Arousal","irony","self","Speaker","S25_1",3
"160",8,"Arousal","irony","self","Speaker","S26_1",1
"161",9,"Arousal","irony","other","Speaker","S03_1",4
"162",9,"Arousal","irony","other","Speaker","S04_1",5
"163",9,"Arousal","irony","other","Speaker","S06_1",1
"164",9,"Arousal","irony","other","Speaker","S08_1",6
"165",9,"Arousal","irony","other","Speaker","S09_1",5
"166",9,"Arousal","irony","other","Speaker","S11_1",6
"167",9,"Arousal","irony","other","Speaker","S12_1",3
"168",9,"Arousal","irony","other","Speaker","S13_1",3
"169",9,"Arousal","irony","other","Speaker","S14_1",6
"170",9,"Arousal","irony","other","Speaker","S15_1",5
"171",9,"Arousal","irony","other","Speaker","S16_1",3
"172",9,"Arousal","irony","other","Speaker","S17_1",1
"173",9,"Arousal","irony","other","Speaker","S18_1",5
"174",9,"Arousal","irony","other","Speaker","S19_1",2
"175",9,"Arousal","irony","other","Speaker","S20_1",5
"176",9,"Arousal","irony","other","Speaker","S21_1",6
"177",9,"Arousal","irony","other","Speaker","S22_1",6
"178",9,"Arousal","irony","other","Speaker","S24_1",4
"179",9,"Arousal","irony","other","Speaker","S25_1",5
"180",9,"Arousal","irony","other","Speaker","S26_1",5
"181",10,"Arousal","literal","self","Speaker","S03_1",5
"182",10,"Arousal","literal","self","Speaker","S04_1",4
"183",10,"Arousal","literal","self","Speaker","S06_1",2
"184",10,"Arousal","literal","self","Speaker","S08_1",4
"185",10,"Arousal","literal","self","Speaker","S09_1",5
"186",10,"Arousal","literal","self","Speaker","S11_1",6
"187",10,"Arousal","literal","self","Speaker","S12_1",3
"188",10,"Arousal","literal","self","Speaker","S13_1",4
"189",10,"Arousal","literal","self","Speaker","S14_1",7
"190",10,"Arousal","literal","self","Speaker","S15_1",4
"191",10,"Arousal","literal","self","Speaker","S16_1",5
"192",10,"Arousal","literal","self","Speaker","S17_1",4
"193",10,"Arousal","literal","self","Speaker","S18_1",6
"194",10,"Arousal","literal","self","Speaker","S19_1",2
"195",10,"Arousal","literal","self","Speaker","S20_1",6
"196",10,"Arousal","literal","self","Speaker","S21_1",7
"197",10,"Arousal","literal","self","Speaker","S22_1",2
"198",10,"Arousal","literal","self","Speaker","S24_1",3
"199",10,"Arousal","literal","self","Speaker","S25_1",6
"200",10,"Arousal","literal","self","Speaker","S26_1",7
"201",11,"Arousal","literal","other","Speaker","S03_1",2
"202",11,"Arousal","literal","other","Speaker","S04_1",3
"203",11,"Arousal","literal","other","Speaker","S06_1",1
"204",11,"Arousal","literal","other","Speaker","S08_1",3
"205",11,"Arousal","literal","other","Speaker","S09_1",7
"206",11,"Arousal","literal","other","Speaker","S11_1",4
"207",11,"Arousal","literal","other","Speaker","S12_1",2
"208",11,"Arousal","literal","other","Speaker","S13_1",2
"209",11,"Arousal","literal","other","Speaker","S14_1",3
"210",11,"Arousal","literal","other","Speaker","S15_1",3
"211",11,"Arousal","literal","other","Speaker","S16_1",2
"212",11,"Arousal","literal","other","Speaker","S17_1",7
"213",11,"Arousal","literal","other","Speaker","S18_1",4
"214",11,"Arousal","literal","other","Speaker","S19_1",2
"215",11,"Arousal","literal","other","Speaker","S20_1",4
"216",11,"Arousal","literal","other","Speaker","S21_1",3
"217",11,"Arousal","literal","other","Speaker","S22_1",5
"218",11,"Arousal","literal","other","Speaker","S24_1",5
"219",11,"Arousal","literal","other","Speaker","S25_1",3
"220",11,"Arousal","literal","other","Speaker","S26_1",2
"221",12,"Arousal","irony","self","Speaker","S03_1",4
"222",12,"Arousal","irony","self","Speaker","S04_1",3
"223",12,"Arousal","irony","self","Speaker","S06_1",2
"224",12,"Arousal","irony","self","Speaker","S08_1",5
"225",12,"Arousal","irony","self","Speaker","S09_1",5
"226",12,"Arousal","irony","self","Speaker","S11_1",4
"227",12,"Arousal","irony","self","Speaker","S12_1",4
"228",12,"Arousal","irony","self","Speaker","S13_1",1
"229",12,"Arousal","irony","self","Speaker","S14_1",5
"230",12,"Arousal","irony","self","Speaker","S15_1",4
"231",12,"Arousal","irony","self","Speaker","S16_1",2
"232",12,"Arousal","irony","self","Speaker","S17_1",3
"233",12,"Arousal","irony","self","Speaker","S18_1",3
"234",12,"Arousal","irony","self","Speaker","S19_1",2
"235",12,"Arousal","irony","self","Speaker","S20_1",3
"236",12,"Arousal","irony","self","Speaker","S21_1",1
"237",12,"Arousal","irony","self","Speaker","S22_1",5
"238",12,"Arousal","irony","self","Speaker","S24_1",4
"239",12,"Arousal","irony","self","Speaker","S25_1",2
"240",12,"Arousal","irony","self","Speaker","S26_1",3
"241",13,"Arousal","irony","other","Speaker","S03_1",2
"242",13,"Arousal","irony","other","Speaker","S04_1",1
"243",13,"Arousal","irony","other","Speaker","S06_1",1
"244",13,"Arousal","irony","other","Speaker","S08_1",4
"245",13,"Arousal","irony","other","Speaker","S09_1",4
"246",13,"Arousal","irony","other","Speaker","S11_1",5
"247",13,"Arousal","irony","other","Speaker","S12_1",3
"248",13,"Arousal","irony","other","Speaker","S13_1",1
"249",13,"Arousal","irony","other","Speaker","S14_1",5
"250",13,"Arousal","irony","other","Speaker","S15_1",3
"251",13,"Arousal","irony","other","Speaker","S16_1",2
"252",13,"Arousal","irony","other","Speaker","S17_1",1
"253",13,"Arousal","irony","other","Speaker","S18_1",3
"254",13,"Arousal","irony","other","Speaker","S19_1",2
"255",13,"Arousal","irony","other","Speaker","S20_1",2
"256",13,"Arousal","irony","other","Speaker","S21_1",4
"257",13,"Arousal","irony","other","Speaker","S22_1",5
"258",13,"Arousal","irony","other","Speaker","S24_1",4
"259",13,"Arousal","irony","other","Speaker","S25_1",3
"260",13,"Arousal","irony","other","Speaker","S26_1",5
"261",14,"Arousal","literal","self","Speaker","S03_1",1
"262",14,"Arousal","literal","self","Speaker","S04_1",2
"263",14,"Arousal","literal","self","Speaker","S06_1",2
"264",14,"Arousal","literal","self","Speaker","S08_1",4
"265",14,"Arousal","literal","self","Speaker","S09_1",3
"266",14,"Arousal","literal","self","Speaker","S11_1",3
"267",14,"Arousal","literal","self","Speaker","S12_1",1
"268",14,"Arousal","literal","self","Speaker","S13_1",1
"269",14,"Arousal","literal","self","Speaker","S14_1",4
"270",14,"Arousal","literal","self","Speaker","S15_1",3
"271",14,"Arousal","literal","self","Speaker","S16_1",2
"272",14,"Arousal","literal","self","Speaker","S17_1",5
"273",14,"Arousal","literal","self","Speaker","S18_1",3
"274",14,"Arousal","literal","self","Speaker","S19_1",1
"275",14,"Arousal","literal","self","Speaker","S20_1",3
"276",14,"Arousal","literal","self","Speaker","S21_1",4
"277",14,"Arousal","literal","self","Speaker","S22_1",3
"278",14,"Arousal","literal","self","Speaker","S24_1",4
"279",14,"Arousal","literal","self","Speaker","S25_1",3
"280",14,"Arousal","literal","self","Speaker","S26_1",1
"281",15,"Arousal","literal","other","Speaker","S03_1",3
"282",15,"Arousal","literal","other","Speaker","S04_1",5
"283",15,"Arousal","literal","other","Speaker","S06_1",1
"284",15,"Arousal","literal","other","Speaker","S08_1",5
"285",15,"Arousal","literal","other","Speaker","S09_1",4
"286",15,"Arousal","literal","other","Speaker","S11_1",6
"287",15,"Arousal","literal","other","Speaker","S12_1",2
"288",15,"Arousal","literal","other","Speaker","S13_1",3
"289",15,"Arousal","literal","other","Speaker","S14_1",7
"290",15,"Arousal","literal","other","Speaker","S15_1",3
"291",15,"Arousal","literal","other","Speaker","S16_1",2
"292",15,"Arousal","literal","other","Speaker","S17_1",5
"293",15,"Arousal","literal","other","Speaker","S18_1",3
"294",15,"Arousal","literal","other","Speaker","S19_1",2
"295",15,"Arousal","literal","other","Speaker","S20_1",3
"296",15,"Arousal","literal","other","Speaker","S21_1",5
"297",15,"Arousal","literal","other","Speaker","S22_1",5
"298",15,"Arousal","literal","other","Speaker","S24_1",5
"299",15,"Arousal","literal","other","Speaker","S25_1",4
"300",15,"Arousal","literal","other","Speaker","S26_1",5
"301",16,"Arousal","irony","self","Speaker","S03_1",3
"302",16,"Arousal","irony","self","Speaker","S04_1",2
"303",16,"Arousal","irony","self","Speaker","S06_1",4
"304",16,"Arousal","irony","self","Speaker","S08_1",4
"305",16,"Arousal","irony","self","Speaker","S09_1",5
"306",16,"Arousal","irony","self","Speaker","S11_1",3
"307",16,"Arousal","irony","self","Speaker","S12_1",2
"308",16,"Arousal","irony","self","Speaker","S13_1",1
"309",16,"Arousal","irony","self","Speaker","S14_1",3
"310",16,"Arousal","irony","self","Speaker","S15_1",3
"311",16,"Arousal","irony","self","Speaker","S16_1",1
"312",16,"Arousal","irony","self","Speaker","S17_1",5
"313",16,"Arousal","irony","self","Speaker","S18_1",3
"314",16,"Arousal","irony","self","Speaker","S19_1",2
"315",16,"Arousal","irony","self","Speaker","S20_1",3
"316",16,"Arousal","irony","self","Speaker","S21_1",7
"317",16,"Arousal","irony","self","Speaker","S22_1",6
"318",16,"Arousal","irony","self","Speaker","S24_1",3
"319",16,"Arousal","irony","self","Speaker","S25_1",6
"320",16,"Arousal","irony","self","Speaker","S26_1",4
"321",17,"Arousal","irony","other","Speaker","S03_1",3
"322",17,"Arousal","irony","other","Speaker","S04_1",2
"323",17,"Arousal","irony","other","Speaker","S06_1",4
"324",17,"Arousal","irony","other","Speaker","S08_1",5
"325",17,"Arousal","irony","other","Speaker","S09_1",5
"326",17,"Arousal","irony","other","Speaker","S11_1",6
"327",17,"Arousal","irony","other","Speaker","S12_1",4
"328",17,"Arousal","irony","other","Speaker","S13_1",2
"329",17,"Arousal","irony","other","Speaker","S14_1",6
"330",17,"Arousal","irony","other","Speaker","S15_1",2
"331",17,"Arousal","irony","other","Speaker","S16_1",4
"332",17,"Arousal","irony","other","Speaker","S17_1",3
"333",17,"Arousal","irony","other","Speaker","S18_1",5
"334",17,"Arousal","irony","other","Speaker","S19_1",2
"335",17,"Arousal","irony","other","Speaker","S20_1",6
"336",17,"Arousal","irony","other","Speaker","S21_1",4
"337",17,"Arousal","irony","other","Speaker","S22_1",3
"338",17,"Arousal","irony","other","Speaker","S24_1",5
"339",17,"Arousal","irony","other","Speaker","S25_1",4
"340",17,"Arousal","irony","other","Speaker","S26_1",5
"341",18,"Arousal","literal","self","Speaker","S03_1",5
"342",18,"Arousal","literal","self","Speaker","S04_1",3
"343",18,"Arousal","literal","self","Speaker","S06_1",6
"344",18,"Arousal","literal","self","Speaker","S08_1",4
"345",18,"Arousal","literal","self","Speaker","S09_1",5
"346",18,"Arousal","literal","self","Speaker","S11_1",6
"347",18,"Arousal","literal","self","Speaker","S12_1",5
"348",18,"Arousal","literal","self","Speaker","S13_1",4
"349",18,"Arousal","literal","self","Speaker","S14_1",6
"350",18,"Arousal","literal","self","Speaker","S15_1",3
"351",18,"Arousal","literal","self","Speaker","S16_1",3
"352",18,"Arousal","literal","self","Speaker","S17_1",5
"353",18,"Arousal","literal","self","Speaker","S18_1",6
"354",18,"Arousal","literal","self","Speaker","S19_1",3
"355",18,"Arousal","literal","self","Speaker","S20_1",5
"356",18,"Arousal","literal","self","Speaker","S21_1",5
"357",18,"Arousal","literal","self","Speaker","S22_1",5
"358",18,"Arousal","literal","self","Speaker","S24_1",4
"359",18,"Arousal","literal","self","Speaker","S25_1",5
"360",18,"Arousal","literal","self","Speaker","S26_1",7
"361",19,"Arousal","literal","other","Speaker","S03_1",3
"362",19,"Arousal","literal","other","Speaker","S04_1",1
"363",19,"Arousal","literal","other","Speaker","S06_1",4
"364",19,"Arousal","literal","other","Speaker","S08_1",5
"365",19,"Arousal","literal","other","Speaker","S09_1",4
"366",19,"Arousal","literal","other","Speaker","S11_1",5
"367",19,"Arousal","literal","other","Speaker","S12_1",1
"368",19,"Arousal","literal","other","Speaker","S13_1",1
"369",19,"Arousal","literal","other","Speaker","S14_1",5
"370",19,"Arousal","literal","other","Speaker","S15_1",2
"371",19,"Arousal","literal","other","Speaker","S16_1",2
"372",19,"Arousal","literal","other","Speaker","S17_1",6
"373",19,"Arousal","literal","other","Speaker","S18_1",2
"374",19,"Arousal","literal","other","Speaker","S19_1",1
"375",19,"Arousal","literal","other","Speaker","S20_1",3
"376",19,"Arousal","literal","other","Speaker","S21_1",5
"377",19,"Arousal","literal","other","Speaker","S22_1",3
"378",19,"Arousal","literal","other","Speaker","S24_1",4
"379",19,"Arousal","literal","other","Speaker","S25_1",3
"380",19,"Arousal","literal","other","Speaker","S26_1",2
"381",20,"Arousal","irony","self","Speaker","S03_1",1
"382",20,"Arousal","irony","self","Speaker","S04_1",2
"383",20,"Arousal","irony","self","Speaker","S06_1",4
"384",20,"Arousal","irony","self","Speaker","S08_1",4
"385",20,"Arousal","irony","self","Speaker","S09_1",4
"386",20,"Arousal","irony","self","Speaker","S11_1",4
"387",20,"Arousal","irony","self","Speaker","S12_1",2
"388",20,"Arousal","irony","self","Speaker","S13_1",2
"389",20,"Arousal","irony","self","Speaker","S14_1",3
"390",20,"Arousal","irony","self","Speaker","S15_1",2
"391",20,"Arousal","irony","self","Speaker","S16_1",2
"392",20,"Arousal","irony","self","Speaker","S17_1",3
"393",20,"Arousal","irony","self","Speaker","S18_1",3
"394",20,"Arousal","irony","self","Speaker","S19_1",1
"395",20,"Arousal","irony","self","Speaker","S20_1",4
"396",20,"Arousal","irony","self","Speaker","S21_1",3
"397",20,"Arousal","irony","self","Speaker","S22_1",4
"398",20,"Arousal","irony","self","Speaker","S24_1",5
"399",20,"Arousal","irony","self","Speaker","S25_1",3
"400",20,"Arousal","irony","self","Speaker","S26_1",4
"401",21,"Arousal","irony","other","Speaker","S03_1",5
"402",21,"Arousal","irony","other","Speaker","S04_1",3
"403",21,"Arousal","irony","other","Speaker","S06_1",1
"404",21,"Arousal","irony","other","Speaker","S08_1",4
"405",21,"Arousal","irony","other","Speaker","S09_1",5
"406",21,"Arousal","irony","other","Speaker","S11_1",4
"407",21,"Arousal","irony","other","Speaker","S12_1",3
"408",21,"Arousal","irony","other","Speaker","S13_1",1
"409",21,"Arousal","irony","other","Speaker","S14_1",5
"410",21,"Arousal","irony","other","Speaker","S15_1",3
"411",21,"Arousal","irony","other","Speaker","S16_1",2
"412",21,"Arousal","irony","other","Speaker","S17_1",7
"413",21,"Arousal","irony","other","Speaker","S18_1",4
"414",21,"Arousal","irony","other","Speaker","S19_1",2
"415",21,"Arousal","irony","other","Speaker","S20_1",4
"416",21,"Arousal","irony","other","Speaker","S21_1",5
"417",21,"Arousal","irony","other","Speaker","S22_1",3
"418",21,"Arousal","irony","other","Speaker","S24_1",5
"419",21,"Arousal","irony","other","Speaker","S25_1",5
"420",21,"Arousal","irony","other","Speaker","S26_1",7
"421",22,"Arousal","literal","self","Speaker","S03_1",2
"422",22,"Arousal","literal","self","Speaker","S04_1",3
"423",22,"Arousal","literal","self","Speaker","S06_1",5
"424",22,"Arousal","literal","self","Speaker","S08_1",7
"425",22,"Arousal","literal","self","Speaker","S09_1",4
"426",22,"Arousal","literal","self","Speaker","S11_1",5
"427",22,"Arousal","literal","self","Speaker","S12_1",3
"428",22,"Arousal","literal","self","Speaker","S13_1",1
"429",22,"Arousal","literal","self","Speaker","S14_1",7
"430",22,"Arousal","literal","self","Speaker","S15_1",3
"431",22,"Arousal","literal","self","Speaker","S16_1",5
"432",22,"Arousal","literal","self","Speaker","S17_1",3
"433",22,"Arousal","literal","self","Speaker","S18_1",5
"434",22,"Arousal","literal","self","Speaker","S19_1",1
"435",22,"Arousal","literal","self","Speaker","S20_1",6
"436",22,"Arousal","literal","self","Speaker","S21_1",1
"437",22,"Arousal","literal","self","Speaker","S22_1",6
"438",22,"Arousal","literal","self","Speaker","S24_1",4
"439",22,"Arousal","literal","self","Speaker","S25_1",5
"440",22,"Arousal","literal","self","Speaker","S26_1",5
"441",23,"Arousal","literal","other","Speaker","S03_1",3
"442",23,"Arousal","literal","other","Speaker","S04_1",5
"443",23,"Arousal","literal","other","Speaker","S06_1",4
"444",23,"Arousal","literal","other","Speaker","S08_1",5
"445",23,"Arousal","literal","other","Speaker","S09_1",3
"446",23,"Arousal","literal","other","Speaker","S11_1",3
"447",23,"Arousal","literal","other","Speaker","S12_1",2
"448",23,"Arousal","literal","other","Speaker","S13_1",1
"449",23,"Arousal","literal","other","Speaker","S14_1",5
"450",23,"Arousal","literal","other","Speaker","S15_1",4
"451",23,"Arousal","literal","other","Speaker","S16_1",4
"452",23,"Arousal","literal","other","Speaker","S17_1",3
"453",23,"Arousal","literal","other","Speaker","S18_1",4
"454",23,"Arousal","literal","other","Speaker","S19_1",2
"455",23,"Arousal","literal","other","Speaker","S20_1",5
"456",23,"Arousal","literal","other","Speaker","S21_1",5
"457",23,"Arousal","literal","other","Speaker","S22_1",1
"458",23,"Arousal","literal","other","Speaker","S24_1",3
"459",23,"Arousal","literal","other","Speaker","S25_1",1
"460",23,"Arousal","literal","other","Speaker","S26_1",2
"461",24,"Arousal","irony","self","Speaker","S03_1",5
"462",24,"Arousal","irony","self","Speaker","S04_1",5
"463",24,"Arousal","irony","self","Speaker","S06_1",6
"464",24,"Arousal","irony","self","Speaker","S08_1",4
"465",24,"Arousal","irony","self","Speaker","S09_1",4
"466",24,"Arousal","irony","self","Speaker","S11_1",7
"467",24,"Arousal","irony","self","Speaker","S12_1",5
"468",24,"Arousal","irony","self","Speaker","S13_1",4
"469",24,"Arousal","irony","self","Speaker","S14_1",6
"470",24,"Arousal","irony","self","Speaker","S15_1",6
"471",24,"Arousal","irony","self","Speaker","S16_1",4
"472",24,"Arousal","irony","self","Speaker","S17_1",5
"473",24,"Arousal","irony","self","Speaker","S18_1",6
"474",24,"Arousal","irony","self","Speaker","S19_1",4
"475",24,"Arousal","irony","self","Speaker","S20_1",5
"476",24,"Arousal","irony","self","Speaker","S21_1",6
"477",24,"Arousal","irony","self","Speaker","S22_1",7
"478",24,"Arousal","irony","self","Speaker","S24_1",4
"479",24,"Arousal","irony","self","Speaker","S25_1",7
"480",24,"Arousal","irony","self","Speaker","S26_1",6
"481",25,"Arousal","irony","other","Speaker","S03_1",2
"482",25,"Arousal","irony","other","Speaker","S04_1",2
"483",25,"Arousal","irony","other","Speaker","S06_1",3
"484",25,"Arousal","irony","other","Speaker","S08_1",5
"485",25,"Arousal","irony","other","Speaker","S09_1",5
"486",25,"Arousal","irony","other","Speaker","S11_1",2
"487",25,"Arousal","irony","other","Speaker","S12_1",1
"488",25,"Arousal","irony","other","Speaker","S13_1",1
"489",25,"Arousal","irony","other","Speaker","S14_1",5
"490",25,"Arousal","irony","other","Speaker","S15_1",2
"491",25,"Arousal","irony","other","Speaker","S16_1",2
"492",25,"Arousal","irony","other","Speaker","S17_1",3
"493",25,"Arousal","irony","other","Speaker","S18_1",2
"494",25,"Arousal","irony","other","Speaker","S19_1",1
"495",25,"Arousal","irony","other","Speaker","S20_1",4
"496",25,"Arousal","irony","other","Speaker","S21_1",7
"497",25,"Arousal","irony","other","Speaker","S22_1",5
"498",25,"Arousal","irony","other","Speaker","S24_1",4
